page,text
11,"pessoa que ele mesmo era antes de compreender o conceito e então rastrear
suas próprias etapas de pensamento em direção à compreensão. Funcionou.
Ele inspirou legiões a estudar, ensinar e fazer ciência.
A Biblioteca do Congresso apontou Cosmos como um dos 88 livros “que
moldaram os Estados Unidos”. É uma lista que inclui obras tão impactantes
como Senso comum, de Thomas Paine, Moby Dick, de Herman Melville, A
cabana do Pai Tomás, de Harriet Beecher Stowe, e On the Road — Pé na
estrada, de Jack Kerouac. Estão listadas em ordem cronológica, a primeira
delas, publicada em 1751 (décadas antes que se consolidasse o conceito de um
governo pelo, para e do povo), também um livro sobre ciência. Escrito por
outro que acreditava que a democracia requer que exista um público
informado de tomadores de decisão. A lista começa com Experiments and
Observations on Electricity [Experimentos e observações sobre eletricidade], de
Benjamin Franklin. Aquele livro e este aqui são atos apaixonados de
cidadania de dois cientistas que quiseram que a ciência pertencesse a todos
nós.
Nesta primavera voltei pela primeira vez às margens do oceano cósmico.
Estive lá com outra equipe de televisão para fazer as tomadas das cenas de
abertura da nova série Cosmos. Nosso anfitrião, o astrofísico Neil deGrasse
Tyson, é um dos muitos cientistas cujas jovens vidas foram marcadas por Carl.
Fico feliz em poder relatar que aquele terreno continua tão intacto,
deslumbrante e inspirador quanto era na primeira vez.
Enquanto olhava as águas cintilantes do Pacífico, eu estava buscando Carl.
Ele sabia que não caberia a qualquer geração isolada ver o quadro completo.
Essa é a questão. O quadro nunca está completo. Há sempre muito mais ainda
por ser descoberto.
Bem-vindo a bordo. Mais uma vez, chegou o momento de sair navegando
para as estrelas.
* Ann Druyan trabalhou como diretora de criação da Mensagem Interestelar Voyager, da Nasa, e foi
coautora, com Carl Sagan, de Cosmos, assim como cocriadora, também com Sagan, do filme Contato e de
muitas outras obras. É produtora executiva e escritora de Cosmos: Uma odisseia do espaço-tempo, série
televisiva apresentada no canal FOX em 2014. Foi casada com Sagan até sua morte. Os asteroides que levam
seus nomes formam uma perpétua aliança em sua órbita em torno do Sol.
"
12,"** Título de um livro de Carl Sagan, Pálido ponto azul, de 1994, inspirado na fotografia da Terra tirada a
mais de 6 bilhões de quilômetros de distância. (N. T.)
"
13,"COSMOS
"
14,"NOTA DA REVISÃO TÉCNICA
Publicado pela primeira vez em 1980, Cosmos reproduz alguns dos
conhecimentos mais avançados da época sobre a natureza, a vida e o universo
— e se mantém até hoje como uma das mais importantes obras de divulgação
científica da história. Muito disso se deve à devoção de Carl Sagan à prática e
à divulgação da ciência, além da incomparável habilidade de transmitir ao
leitor sua admiração pela natureza.
Embora diversas descobertas fascinantes tenham ocorrido nos últimos
quarenta anos — o genoma humano foi mapeado, nosso conhecimento acerca
do cérebro vem sendo profundamente modificado, a astrobiologia e a busca
por exoplanetas se tornaram uma área de intensa atividade científica, a
confirmação da existência de matéria escura ampliou o que se entende sobre
o universo —, o tema central deste livro nunca estará desatualizado: o nosso
fascínio pelo conhecimento e a prática da ciência como atividade cultural.
Optou-se nesta edição por não incluir de forma exaustiva notas que
atualizassem novas descobertas a respeito dos temas aqui tratados,
preservando a missão original de Cosmos: dar a medida de nosso ínfimo
tamanho no universo e de nossa infinita singularidade como seres.
"
15,"Introdução
Há de vir o tempo no qual uma pesquisa diligente durante longos períodos revelará coisas que hoje estão
ocultas. A duração de uma vida, mesmo que toda dedicada ao céu, não seria suficiente para a
investigação de um tema tão vasto […]. E por isso esse conhecimento só se desdobrará ao longo de
sucessivas eras. Virá um tempo no qual nossos descendentes ficarão espantados com o fato de que não
sabíamos de coisas que para eles serão tão evidentes […]. Muitas descobertas estão reservadas para
épocas ainda por vir, quando a lembrança sobre nós estará apagada. Nosso universo é um caso
lamentavelmente ínfimo, a menos que encerre coisas que cada época terá de investigar […]. A natureza
não revela seus mistérios de uma só vez.
Sêneca, Questões naturais, livro 7, século I
 
 
Em tempos antigos, na fala e nos hábitos cotidianos, os acontecimentos
mais mundanos eram relacionados aos maiores eventos cósmicos. Um
exemplo delicioso é um encantamento contra o verme que, segundo os
assírios em 1000 a.C., causava dor de dente. Ele começa com a origem do
universo e termina com uma cura para a dor de dente:
Após Anu ter criado o céu,
E o céu ter criado a Terra,
E a Terra ter criado os rios,
E os rios terem criado os canais,
E os canais terem criado os pântanos,
E os pântanos terem criado o verme,
O verme foi procurar Samas, chorando,
Suas lágrimas rolando diante de Ea:
“O que você vai me dar para comer,
O que vai me dar para beber?”.
“Vou lhe dar o figo seco
E o damasco.”
"
16,"“E o que são eles para mim? O figo seco
E o damasco!
Suspenda-me, e deixe-me morar
entre os dentes e as gengivas!…”
Por ter dito isso, oh, verme,
Possa Ea golpeá-lo com a potência
De sua mão!
(Encantamento contra dor de dente)
O tratamento: Pegue cerveja de segunda […] e óleo e misture tudo;
Você deve pronunciar o encantamento três vezes e em seguida pôr o medicamento sobre o dente.
Nossos antepassados estavam ansiosos por compreender o mundo, mas
ainda não conseguiam encontrar um método. Imaginavam um universo
pequeno, singular, arrumado, no qual as forças dominantes eram deuses,
como Anu, Ea e Samas. Nesse universo os seres humanos desempenhavam um
papel importante, se não central. Estamos intimamente ligados ao resto da
natureza. O tratamento da dor de dente com cerveja de segunda tinha a ver
com os mais profundos mistérios cósmicos.
Em nossos dias, descobrimos um modo poderoso e elegante de
compreender o universo, um método chamado ciência; ele nos revelou um
universo tão antigo e tão vasto que as questões humanas parecem, à primeira
vista, ter pouca importância. Crescemos distantes do universo. Ele parecia
remoto e irrelevante para nossas questões do dia a dia. Mas a ciência
descobriu não só que o universo tem uma grandeza vertiginosa e extática, não
só que ele é acessível à compreensão humana, mas também que somos, num
sentido muito real e de grande alcance, parte desse cosmos, nascidos dele,
nosso destino profundamente conectado ao dele. Os mais básicos e triviais
eventos que dizem respeito ao homem levam ao universo e a suas origens.
Este livro é dedicado à exploração dessa perspectiva cósmica.
No verão e no outono de 1976, como membro da equipe de voo do veículo
de solo da Viking para obtenção de imagens, eu me envolvi, com uma centena
de colegas cientistas, na exploração do planeta Marte. Pela primeira vez na
história humana tínhamos pousado dois veículos espaciais na superfície de
outro mundo. Os resultados, descritos com mais detalhes no capítulo 5,
foram espetaculares, deixando evidente o significado histórico da missão.
"
17,"Mesmo assim, o grande público não aprendeu quase nada desses grandes
acontecimentos. A imprensa quase não lhes deu atenção, a televisão ignorou
a missão quase por completo. Quando ficou claro que não se apresentaria
uma resposta definitiva quanto à questão de haver ou não vida em Marte, o
interesse diminuiu ainda mais. Não havia muita tolerância com a
ambiguidade. Ante a descoberta de que a cor do céu marciano era uma
espécie de amarelo-rosado, e não o azul que, de maneira equivocada, tinha
sido relatado a princípio, o anúncio foi saudado pelo grupo de repórteres
com um coro de vaias bem-humoradas — eles queriam que Marte fosse, até
quanto a esse aspecto, parecido com a Terra. Achavam que seu público iria
pouco a pouco se desinteressar à medida que o planeta se revelasse cada vez
menos parecido com o nosso. Ainda assim, as paisagens marcianas são
espantosas, com vistas de tirar o fôlego. Eu estava ciente, por experiência
própria, de que existe um enorme interesse global pela exploração dos
planetas e por muitos tópicos científicos — a origem da vida, a Terra e o
cosmos, a busca por inteligência extraterrestre, nossa conexão com o
universo. E tinha certeza de que esse interesse poderia ser estimulado por
meio do mais poderoso dos meios de comunicação, a televisão.
Essa minha percepção foi compartilhada com B. Gentry Lee, o diretor de
análise de dados e do planejamento da missão Viking. Dispostos a enfrentar
qualquer parada, decidimos fazer nós mesmos alguma coisa em relação a isso.
Lee propôs que criássemos uma produtora dedicada à comunicação e
divulgação científica de um modo envolvente e acessível. Durante os meses
seguintes consideramos e avaliamos vários projetos. Porém o mais
interessante, de longe, foi o de uma investigação proposta pela KCET, emissora
de TV em Los Angeles afiliada ao Serviço Público de Radiodifusão. Mais
tarde, concordamos todos em produzir uma série de televisão em treze
partes, orientada à astronomia, mas com uma ampla perspectiva humana.
Deveria ser dirigida a uma audiência popular, ser visual e musicalmente
impactante, envolver tanto o coração quanto a mente. Conversamos com
subscritores, contratamos um produtor executivo e vimo-nos engajados num
projeto de três anos chamado Cosmos. No momento em que isto é escrito, ele
tem uma audiência em âmbito mundial estimada em 200 milhões de pessoas,
"
18,"ou quase 5% da população humana do planeta. Baseia-se na premissa de que o
público é muito mais inteligente do que em geral se acredita; de que as mais
profundas questões científicas sobre a natureza e a origem do mundo
instigam o interesse e as paixões de espantosas quantidades de gente. A época
atual representa uma grande encruzilhada para a nossa civilização, e talvez
para a nossa espécie. Seja qual for o rumo que tomarmos, nosso destino está
indissoluvelmente ligado à ciência. Para nós é essencial, como simples
questão de sobrevivência, compreender a ciência. Além disso, a ciência é um
deleite; a evolução nos fez ter prazer quando compreendemos — e os que
compreendem têm mais probabilidade de sobreviver. A série de televisão
Cosmos e este livro representam um esperançoso experimento na
comunicação de algumas das ideias, dos métodos e das alegrias da ciência.
O livro e a série evoluíram juntos. Em certo sentido, um é baseado no
outro. Muitas ilustrações destas páginas baseiam-se nas impactantes imagens
visuais que foram preparadas para a série televisiva. Mas livros e séries de TV
têm públicos diferentes e demandam abordagens diversas. Uma das grandes
virtudes de um livro é que ele possibilita ao leitor retornar várias vezes a
passagens obscuras ou difíceis; isso só agora começa a ser possível na
televisão, com o desenvolvimento do videoteipe e da tecnologia do
videodisco. Um escritor tem muito mais liberdade para escolher a
abrangência e a profundidade de um tema no capítulo de um livro do que
nos procustianos 58 minutos e trinta segundos de um programa de TV não
comercial. Este livro aborda muitos itens com mais profundidade do que a
série. Nele são discutidos temas que não são tratados na série de TV e vice-
versa. Por exemplo, as representações do Calendário Cósmico da série não
aparecem aqui — em parte porque o Calendário Cósmico é discutido em meu
livro Os dragões do Éden; da mesma forma, não abordo aqui a vida de Robert
Goddard em detalhes, porque há no livro Broca’s Brain [O cérebro de Broca]
um capítulo dedicado a ele. Porém cada episódio da série acompanha bem de
perto o capítulo deste livro a ele correspondente; e gosto de pensar que o
prazer suscitado por cada um é aumentado com a referência que faz ao outro.
Apenas algumas poucas das mais de 250 ilustrações em cores das edições em
capa dura e brochura puderam entrar nesta edição, mas todas as imagens
"
19,"necessárias para a compreensão do texto foram incluídas.
Para maior clareza, em alguns casos apresento uma ideia mais de uma vez
— na primeira, de forma superficial, com passagens mais profundas em
menções subsequentes. Isso ocorre, por exemplo, na introdução aos objetos
cósmicos, no capítulo 1, que são examinados com mais detalhes adiante; ou
na discussão das mutações, das enzimas e dos ácidos nucleicos, no capítulo 2.
Em alguns casos, são apresentados conceitos fora de sua cronologia histórica.
Por exemplo, as ideias dos cientistas gregos são apresentadas no capítulo 7,
bem depois da discussão sobre Johannes Kepler, no capítulo 3. Mas acredito
que uma apreciação dos gregos será mais apropriada se apresentada após
constatarmos o que eles não chegaram a realizar.
Como a ciência é inseparável do resto do empreendimento humano, ela
não pode ser discutida sem que se faça contato, às vezes de relance, às vezes
frente a frente, com várias questões sociais, políticas, religiosas e filosóficas.
Mesmo quando se está filmando uma série de TV sobre ciência, a ocorrência
frequente, em âmbito mundial, de atividades militares pode se tornar
intrusiva. Ao simular, no deserto de Mojave, a exploração de Marte com uma
réplica em escala natural do veículo de solo da Viking, fomos interrompidos
várias vezes pela Força Aérea dos Estados Unidos, em seus exercícios de
bombardeio numa área de teste nas proximidades. Em Alexandria, no Egito,
toda manhã, das nove às onze horas, nosso hotel era o objetivo em exercícios
de metralhamento da Força Aérea egípcia. Em Samos, na Grécia, a permissão
para filmar, em qualquer lugar, era retida até o último momento devido a
manobras da Otan e, claramente, à construção de um labirinto de posições
subterrâneas e nas montanhas para artilharia e tanques. Na Tchecoslováquia,
o uso de walkie-talkies na organização da logística de filmagem numa estrada
rural chamou a atenção de um caça da Força Aérea tcheca, que ficou voando
em círculos até assegurarmos, em tcheco, que não estava sendo perpetrada
nenhuma ameaça à segurança nacional. Na Grécia, no Egito e na
Tchecoslováquia nossas equipes de filmagem eram acompanhadas em toda
parte por agentes do serviço de segurança estatal. Sondagens preliminares
para filmar em Kaluga, na União Soviética, para uma pesquisa sobre a vida do
pioneiro russo da astronáutica Konstantin Tsiolkóvski, foram desencorajadas
"
20,"— porque, descobrimos mais tarde, lá iriam se realizar julgamentos de
dissidentes. Nossas equipes foram tratadas inúmeras vezes nos países que
visitamos com a maior gentileza; mas a presença militar global, o medo que
habita os corações das nações, estava por toda a parte. A experiência ratificou
minha decisão de tratar, sempre que relevante, de questões sociais, tanto na
série quanto no livro.
A ciência é um processo contínuo. Nunca termina. Não existe uma única e
definitiva verdade a ser alcançada, após a qual todos os cientistas poderão se
aposentar. E, por ser assim, o mundo é muito mais interessante, tanto para os
cientistas quanto para os milhões de pessoas em cada nação que, conquanto
não sejam cientistas profissionais, estão profundamente interessados nos
métodos e nos achados da ciência. Assim, embora muito pouca coisa
apresentada no livro Cosmos tenha ficado obsoleta desde sua primeira
publicação, houve muitas novas e significativas descobertas.
As naves Voyager 1 e 2 chegaram ao sistema de Saturno e revelaram uma
grande quantidade de coisas maravilhosas concernentes ao planeta, seu
intricado sistema de anéis e os muitos satélites que o circundam. Talvez o
mais interessante entre estes seja Titã, que, sabe-se hoje, tem uma atmosfera
parecida com a que havia na Terra em seus primórdios, uma densa camada de
névoa composta por moléculas orgânicas complexas, e talvez uma superfície
oceânica de hidrocarbonetos líquidos. Tem sido feita nos últimos tempos
uma série de observações dos anéis de detritos em torno de estrelas jovens.
Esses anéis podem estar em processo de se consolidar em novos sistemas
planetários e sugerem que pode haver uma avassaladora abundância de
planetas em torno de estrelas da Via Láctea, a nossa galáxia. De maneira
inesperada, descobriu-se vida pululando em componentes de enxofre, em
correntes de temperatura muito alta no fundo do oceano terrestre.
Acumularam-se novas evidências que indicam que de tempos em tempos eles
são pulverizados para dentro do sistema solar interior, desencadeando a
extinção de muitas espécies na Terra. Foram reveladas grandes regiões de
espaço intergaláctico que, ao que tudo indica, se reduzem em galáxias. Foram
sugeridos novos e importantes componentes do universo que suscitam a
questão concernente ao destino final.
"
21,"E o ritmo de novas descobertas continua. Espaçonaves do Japão, da
Agência Espacial Europeia e da União Soviética estão programadas para
interceptar o cometa Halley em 1986. O Telescópio Espacial dos Estados
Unidos, o maior observatório em órbita jamais testado, tem seu lançamento
previsto para antes do fim da década. Estão surgindo oportunidades
importantes de missões espaciais para Marte, para outros cometas, para
asteroides, para Titã. A espaçonave americana Galileu, programada para
chegar ao sistema de Júpiter em 1988, está projetada para largar a primeira
sonda na atmosfera de um dos grandes planetas. E há também um lado
sombrio nessa sequência de descobertas científicas: um trabalho recente
sugere que, na esteira de uma possível guerra nuclear, a fuligem e a poeira
resultantes, ao se elevar na atmosfera, vão escurecer e esfriar a Terra,
produzindo uma catástrofe sem precedentes até em nações nas quais nem
uma só bomba tenha sido detonada. Nossa tecnologia permite que
exploremos cada vez mais as maravilhas do cosmos e também que reduzamos
a Terra ao caos. Temos o privilégio de viver em, e se tivermos sorte de
influenciar, uma das épocas mais cruciais na história da espécie humana.
Num projeto dessa magnitude é impossível agradecer a cada um que tenha
contribuído para ele. Contudo, quero mencionar, em especial, B. Gentry Lee;
os membros da equipe de produção de Cosmos, entre eles os produtores
seniores Geoffrey Haines-Stiles e David Kennard e o produtor executivo
Adrian Malone; os artistas Jon Lomberg (que desempenhou um papel crucial
no projeto original e na organização dos aspectos visuais de Cosmos), John
Allison, Adolf Schaller, Rick Sternbach, Don Davis, Brown e Anne Norcia; os
consultores Donald Goldsmith, Owen Gingerich, Paul Fox e Diane
Ackerman; Cameron Beck; a direção da KCET — sobretudo Greg Andorfer,
que foi quem nos trouxe a proposta da emissora —, Chuck Allen, William
Lamb e James Loper; e os subscritores e coprodutores da série de televisão
Cosmos, entre os quais Atlantic Richfield Company, Corporation for Public
Broadcasting, Arthur Vining Davis Foundations, Alfred P. Sloan Foundation,
British Broadcasting Corporation e Polytel International. Outros, que
ajudaram a esclarecer questões referentes a fatos ou abordagens, são listados
no final do livro. No entanto, a responsabilidade final pelo conteúdo da obra,
"
22,"claro, é minha. Agradeço à equipe da Random House, em especial minha
editora, Anne Freedgood, por seu trabalho competente e sua paciência
quando os prazos finais para a série de TV e para o livro pareceram estar em
conflito. E tenho uma dívida de gratidão especial com Shirley Arden, minha
assistente executiva, que datilografou os primeiros rascunhos deste livro e
conduziu os esboços seguintes por todos os estágios de produção, com sua
costumeira e animada competência. Esse é apenas um dos muitos motivos
pelos quais o projeto de Cosmos lhe é tão profundamente devedor. Sou mais
grato do que seja capaz de expressar à Universidade Cornell, por me conceder
uma licença de dois anos para realizar este projeto, a meus colegas e alunos
daquela instituição, e a meus colegas da Nasa, do Laboratório de Propulsão a
Jato e da equipe de captação de imagens da Voyager.
Minha dívida maior no que concerne ao livro é com Ann Druyan e Steven
Soter, meus coautores na série de TV. Eles deram contribuições fundamentais
e frequentes às ideias básicas e suas conexões, a toda estrutura intelectual dos
episódios e à tão feliz determinação do estilo. Sou-lhes muitíssimo grato por
suas leituras vigorosamente críticas das primeiras versões do livro, por suas
construtivas e criativas sugestões na revisão de muitos rascunhos e por suas
grandes contribuições ao roteiro para a televisão, que de muitas maneiras
influenciaram o conteúdo destas páginas. O prazer de que desfrutei em nossas
muitas discussões é uma de minhas principais recompensas no projeto de
Cosmos.
Ithaca e Los Angeles,
maio de 1980
e julho de 1984
"
23,"1. As margens do oceano cósmico
Os primeiros homens criados e formados foram chamados de Feiticeiro do Riso Fatal, Feiticeiro da
Noite, Desleixado e Feiticeiro Negro […]. Foram dotados de inteligência, conseguiam saber de tudo que
existia no mundo. Quando olhavam, viam no mesmo instante tudo o que havia à sua volta e
contemplavam por sua vez o arco do céu e a superfície redonda da Terra […]. [Então disse o Criador]:
“Eles sabem tudo […] o que faremos com eles agora? Que sua vista alcance apenas o que lhes está
próximo; que só enxerguem um pouco da superfície da Terra! […] Não são eles, por natureza, simples
criaturas de nossa feitura? Têm de ser deuses também?”.
Popol Vuh, dos maias quichés
O conhecido é finito, o desconhecido, infinito; intelectualmente estamos numa ilhota no meio de um
oceano ilimitado de inexplicabilidade. Nossa função em cada geração é reivindicar um pouco mais de
terra firme.
T. H. Huxley, 1887
 
 
O cosmos é tudo o que existiu, existe ou existirá. Nossas contemplações do
universo, mesmo as mais breves ou superficiais, mexem conosco — há sempre
um arrepio na espinha, um embargo na voz, uma sensação de fraqueza, como
a memória distante da queda de uma grande altura. Sabemos que estamos
diante do maior dos mistérios.
A extensão e a idade do cosmos estão além da compreensão normal
humana. Perdido em algum lugar entre a imensidão e a eternidade fica o
minúsculo planeta que é nosso lar. Numa perspectiva cósmica, a maioria das
preocupações humanas parece ser insignificante, até mesmo mesquinha.
Porém nossa espécie é jovem e curiosa e valente e demonstra ser muito
promissora. Nos últimos poucos milênios fizemos as mais espantosas e
inesperadas descobertas sobre o cosmos e nosso lugar nele, em explorações de
"
